,Düz,Otomatik,YarıOtomatik,Dizel,Benzin/Lpg,Benzin,1300ccvealtı,1601-1800cc,1301-1600cc,6001ccveüzeri,ArabaYıl,Fiyat,Km
0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,52.0,90.0
1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2016,68.0,136.0
2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2017,34.665,150.0
3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2016,171.0,45.75
4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2016,91.0,54.75
5,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2015,147.0,55.25
6,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2016,49.0,57.0
7,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2016,115.0,58.95
8,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2016,63.0,59.0
9,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2016,37.0,59.0
10,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2016,158.0,60.9
11,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2016,11.0,62.0
12,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2016,432.0,62.0
13,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2016,20.5,63.5
14,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2016,85.0,63.5
15,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2016,52.0,63.5
16,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2016,93.0,64.0
17,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2017,41.0,64.75
18,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,78.0,65.85
